AHU name,DATE,Time,Set point temperature,Return temperature,Supply air temperature,Supply fan,Valve position,Heat Exchanger,Heating supply temperature,Cooling supply temperature,cooling pump,labeling
AHU-N01,20/10/2023,08:00,24.8,28.0 ,29.0 ,1.0 ,0.0 ,,,39.90000153,1.0 ,Cooling supply temperature fault
AHU-N04,03/03/2023,08:00,25,21.7 ,29.9 ,1.0 ,10.0 ,0.0 ,45.5 ,,,Normal condition
AHU-N04,10/03/2023,09:00,25,21.9 ,28.9 ,1.0 ,8.0 ,0.0 ,26.3 ,,,Normal condition
AHU-N01,18/11/2023,01:00,23.4,20.4 ,29.1 ,0.0 ,30.0 ,0.0 ,25.5 ,,,Normal condition
AHU-N01,18/11/2023,02:00,23.4,20.2 ,29.1 ,0.0 ,30.0 ,0.0 ,25.5 ,,,Normal condition
AHU-N01,18/11/2023,03:00,23.4,20.0 ,28.5 ,0.0 ,30.0 ,0.0 ,25.5 ,,,Normal condition
AHU-N01,18/11/2023,04:00,23.4,19.9 ,28.5 ,0.0 ,30.0 ,0.0 ,25.5 ,,,Normal condition
AHU-N01,18/11/2023,05:00,23.4,19.9 ,28.8 ,0.0 ,30.0 ,0.0 ,25.3 ,,,Normal condition
AHU-N01,18/11/2023,06:00,23.4,19.8 ,28.6 ,0.0 ,30.0 ,0.0 ,25.3 ,,,Normal condition
AHU-N01,18/11/2023,07:00,23.4,20.0 ,29.5 ,0.0 ,30.0 ,0.0 ,25.3 ,,,Normal condition
AHU-N01,18/11/2023,08:00,23.4,20.1 ,29.8 ,0.0 ,30.0 ,0.0 ,25.3 ,,,Normal condition
AHU-N01,18/11/2023,09:00,23.4,20.3 ,30.0 ,0.0 ,30.0 ,0.0 ,25.2 ,,,Normal condition
AHU-N01,18/11/2023,10:00,23.4,20.3 ,29.6 ,0.0 ,30.0 ,0.0 ,25.2 ,,,Normal condition
AHU-N01,18/11/2023,13:00,23.4,20.4 ,29.6 ,0.0 ,30.0 ,0.0 ,25.2 ,,,Normal condition
AHU-N01,18/11/2023,14:00,23.4,20.4 ,29.7 ,0.0 ,30.0 ,0.0 ,25.2 ,,,Normal condition
AHU-N01,19/11/2023,01:00,23.4,20.4 ,29.6 ,0.0 ,30.0 ,0.0 ,25.1 ,,,Normal condition
AHU-N01,19/11/2023,02:00,23.4,20.4 ,29.5 ,0.0 ,30.0 ,0.0 ,25.1 ,,,Normal condition
AHU-N01,19/11/2023,03:00,23.4,20.2 ,29.2 ,0.0 ,30.0 ,0.0 ,25.1 ,,,Normal condition
AHU-N01,19/11/2023,04:00,23.4,20.2 ,29.3 ,0.0 ,30.0 ,0.0 ,25.1 ,,,Normal condition
AHU-N01,19/11/2023,05:00,23.4,20.0 ,29.3 ,0.0 ,30.0 ,0.0 ,25.1 ,,,Normal condition
AHU-N01,19/11/2023,06:00,23.4,20.0 ,29.4 ,0.0 ,30.0 ,0.0 ,25.1 ,,,Normal condition
AHU-N01,19/11/2023,07:00,23.4,20.1 ,29.6 ,0.0 ,30.0 ,0.0 ,25.0 ,,,Normal condition
AHU-N01,19/11/2023,08:00,23.4,20.1 ,29.8 ,0.0 ,30.0 ,0.0 ,25.0 ,,,Normal condition
AHU-N01,19/11/2023,09:00,23.4,20.2 ,29.6 ,0.0 ,30.0 ,0.0 ,25.1 ,,,Normal condition
AHU-N01,19/11/2023,10:00,23.4,20.3 ,29.6 ,0.0 ,30.0 ,0.0 ,25.1 ,,,Normal condition
AHU-N01,22/11/2023,03:00,23.4,20.2 ,26.0 ,0.0 ,30.0 ,0.0 ,25.1 ,,,Normal condition
AHU-N01,22/11/2023,04:00,23.4,20.0 ,25.8 ,0.0 ,30.0 ,0.0 ,25.1 ,,,Normal condition
AHU-N01,22/11/2023,05:00,23.4,19.9 ,25.6 ,0.0 ,30.0 ,0.0 ,25.1 ,,,Normal condition
AHU-N01,22/11/2023,06:00,23.4,19.7 ,25.6 ,0.0 ,30.0 ,0.0 ,25.1 ,,,Normal condition
AHU-N01,24/11/2023,04:00,23.4,20.4 ,26.7 ,0.0 ,30.0 ,0.0 ,25.2 ,,,Normal condition
AHU-N01,24/11/2023,05:00,23.4,20.4 ,27.1 ,0.0 ,30.0 ,0.0 ,25.1 ,,,Normal condition
AHU-N01,24/11/2023,06:00,23.4,20.3 ,26.9 ,0.0 ,30.0 ,0.0 ,25.1 ,,,Normal condition
AHU-N01,24/11/2023,21:00,23.4,20.4 ,22.8 ,0.0 ,30.0 ,0.0 ,24.5 ,,,Normal condition
AHU-N01,24/11/2023,22:00,23.4,19.9 ,23.3 ,0.0 ,30.0 ,0.0 ,24.5 ,,,Normal condition
AHU-N01,24/11/2023,23:00,23.4,19.7 ,24.3 ,0.0 ,30.0 ,0.0 ,24.5 ,,,Normal condition
AHU-N01,25/11/2023,01:00,23.4,19.4 ,24.8 ,0.0 ,30.0 ,0.0 ,24.5 ,,,Normal condition
AHU-N01,25/11/2023,02:00,23.4,19.2 ,24.9 ,0.0 ,30.0 ,0.0 ,24.2 ,,,Normal condition
AHU-N01,25/11/2023,03:00,23.4,19.2 ,24.9 ,0.0 ,30.0 ,0.0 ,24.2 ,,,Normal condition
AHU-N01,25/11/2023,04:00,23.4,19.1 ,25.0 ,0.0 ,30.0 ,0.0 ,24.2 ,,,Normal condition
AHU-N01,25/11/2023,05:00,23.4,19.0 ,25.1 ,0.0 ,30.0 ,0.0 ,24.2 ,,,Normal condition
AHU-N01,25/11/2023,00:00,23.4,19.5 ,24.6 ,0.0 ,30.0 ,0.0 ,24.5 ,,,Normal condition
AHU-N01,26/11/2023,01:00,23.4,19.2 ,25.2 ,0.0 ,30.0 ,0.0 ,46.5 ,,,Normal condition
AHU-N01,26/11/2023,02:00,23.4,19.0 ,25.3 ,0.0 ,30.0 ,0.0 ,47.0 ,,,Normal condition
AHU-N01,26/11/2023,03:00,23.4,19.0 ,25.2 ,0.0 ,30.0 ,0.0 ,46.0 ,,,Normal condition
AHU-N01,26/11/2023,04:00,23.4,18.9 ,25.2 ,0.0 ,30.0 ,0.0 ,45.0 ,,,Normal condition
AHU-N01,26/11/2023,05:00,23.4,18.9 ,25.0 ,0.0 ,30.0 ,0.0 ,45.0 ,,,Normal condition
AHU-N01,26/11/2023,06:00,23.4,18.9 ,25.0 ,0.0 ,30.0 ,0.0 ,44.0 ,,,Normal condition
AHU-N01,26/11/2023,07:00,23.4,18.9 ,25.0 ,0.0 ,30.0 ,0.0 ,43.0 ,,,Normal condition
AHU-N01,26/11/2023,08:00,23.4,18.8 ,25.1 ,0.0 ,30.0 ,0.0 ,42.0 ,,,Normal condition
AHU-N01,26/11/2023,09:00,23.4,18.8 ,25.5 ,0.0 ,30.0 ,0.0 ,42.0 ,,,Normal condition
AHU-N01,26/11/2023,10:00,23.4,19.0 ,26.8 ,0.0 ,30.0 ,0.0 ,41.0 ,,,Normal condition
AHU-N01,26/11/2023,11:00,23.4,19.1 ,27.7 ,0.0 ,30.0 ,0.0 ,41.0 ,,,Normal condition
AHU-N01,26/11/2023,12:00,23.4,19.3 ,27.4 ,0.0 ,30.0 ,0.0 ,40.0 ,,,Normal condition
AHU-N01,26/11/2023,13:00,23.4,19.3 ,26.6 ,0.0 ,30.0 ,0.0 ,39.0 ,,,Normal condition
AHU-N01,26/11/2023,14:00,23.4,19.3 ,26.4 ,0.0 ,30.0 ,0.0 ,39.0 ,,,Normal condition
AHU-N01,26/11/2023,15:00,23.4,19.3 ,26.0 ,0.0 ,30.0 ,0.0 ,38.0 ,,,Normal condition
AHU-N01,26/11/2023,16:00,23.4,19.5 ,26.1 ,0.0 ,30.0 ,0.0 ,38.0 ,,,Normal condition
AHU-N01,26/11/2023,17:00,23.4,19.6 ,26.3 ,0.0 ,30.0 ,0.0 ,37.2 ,,,Normal condition
AHU-N01,26/11/2023,18:00,23.4,19.6 ,26.2 ,0.0 ,30.0 ,0.0 ,37.2 ,,,Normal condition
